Category URL,Category name,Product URL,Product name,Unit,Price,Image
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/orijen-treat-free-run-duck-42-5-gr-para-perros.html,Orijen Free Run Duck dog treats premios para perro 100% proteina y nada mas,42.5 Gr,6.48,https://www.petsonic.com/19383-large_default/orijen-treat-free-run-duck-42-5-gr-para-perros.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/orijen-treat-wild-board-56-gr-para-perros.html,Orijen Wild Boar dog treats premios para perro 100% proteina y nada mas,42.5 Gr,5.36,https://www.petsonic.com/20625-large_default/orijen-treat-wild-board-56-gr-para-perros.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/orijen-treats-original-56gr-para-perros.html,Orijen Original dog treats premios para perro 100% proteina y nada mas,42.5 Gr,5.55,https://www.petsonic.com/9782-large_default/orijen-treats-original-56gr-para-perros.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/glyco-flex-l-snacks-para-perro.html,Vetnova Glyco-flex l Snacks para Perro,120 Comprimidos,54.70,https://www.petsonic.com/11857-large_default/glyco-flex-l-snacks-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/vetnova-glyco-flex-ll-snacks-para-perro.html,Vetnova Glyco-flex ll Snacks para Perro,60 Comprimidos,35.54,https://www.petsonic.com/11858-large_default/vetnova-glyco-flex-ll-snacks-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/vetnova-glyco-flex-ll-snacks-para-perro.html,Vetnova Glyco-flex ll Snacks para Perro,120 Comprimidos,64.85,https://www.petsonic.com/11858-large_default/vetnova-glyco-flex-ll-snacks-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/vetnova-glyco-flex-l-snacks-para-gatos-y-perros-pequenos.html,Vetnova Glyco-flex ll Snacks para Gatos y Perros Pequeños,60 Comprimidos,32.67,https://www.petsonic.com/11859-large_default/vetnova-glyco-flex-l-snacks-para-gatos-y-perros-pequenos.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/vetnova-glyco-flex-lll-snacks-para-perro.html,Vetnova Glyco-flex III Snacks para Perro,30 Comprimidos,30.69,https://www.petsonic.com/11863-large_default/vetnova-glyco-flex-lll-snacks-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/vetnova-glyco-flex-lll-snacks-para-perro.html,Vetnova Glyco-flex III Snacks para Perro,60 Comprimidos,50.54,https://www.petsonic.com/11863-large_default/vetnova-glyco-flex-lll-snacks-para-perro.jpg
https://www.petsonic.com/snacks-naturales-para-perro/,Snacks Naturales para...,https://www.petsonic.com/vetnova-glyco-flex-lll-snacks-para-perro.html,Vetnova Glyco-flex III Snacks para Perro,120 Comprimidos,84.23,https://www.petsonic.com/11863-large_default/vetnova-glyco-flex-lll-snacks-para-perro.jpg
